ID Pelanggan,Nama Pelanggan,Waktu Pembelian,Jumlah Pembelian
1,Oki Subianto,2024-03-29 04:09:33,384150.02
2,Hanif Yusuf,2024-01-01 19:39:05,277915.74
3,Elok Surya,2024-09-06 02:17:52,86703.51
4,Nurul Sutrisno,2024-08-02 19:32:06,390890.71
5,Tirta Wijaningsih,2024-09-24 22:34:05,182430.71
6,Gita Almira,2024-09-27 17:29:00,215020.55
7,Wira Aji,2024-05-16 23:26:29,480218.87
8,Odelia Maulida,2024-03-02 18:33:15,417765.46
9,Nurul Hidayat,2024-01-15 17:14:45,196383.7
10,Nurul Sulistyo,2024-11-10 21:23:18,249145.62
11,Utami Kurniawan,2024-03-29 05:26:11,283678.5
12,Yusuf Almira,2024-11-25 03:41:54,291764.04
13,Neneng Rosadi,2024-07-01 21:02:49,93805.11
14,Veron Yap,2024-02-29 04:51:54,218152.85
15,Danang Putra,2024-03-09 20:04:47,31420.54
16,Faisal Ramdani,2024-10-31 07:27:39,231343.37
17,Zain Rohman,2024-02-18 06:49:04,297452.47
18,Wira Ramdhan,2024-10-05 18:14:07,333673.83
19,Omar Baswedan,2024-02-21 12:21:02,57847.02
20,Rafi Uno,2024-10-13 09:51:05,231829.92
21,Aisyah Maulida,2024-12-28 18:57:11,10864.47
22,Gilang Rizal,2024-07-28 13:27:49,45954.72
23,Jamil Nurfadilah,2024-09-29 21:04:06,97069.78
24,Yusuf Saputra,2024-02-20 20:43:25,189061.75
25,Valen Wijaningsih,2024-08-25 10:17:30,169608.42
26,Farah Sari,2024-11-05 13:11:10,153761.88
27,Ajeng Irwansyah,2024-03-24 19:56:37,477242.22
28,Citra Wijaya,2024-07-03 04:08:51,288044.26
29,Zidan Wibowo,2024-02-27 06:05:45,325109.32
30,Bagus Pratama,2024-10-18 16:12:54,206755.54
31,Gita Nugraheni,2024-03-25 20:14:03,355080.4
32,Udin Nurfadilah,2024-02-15 21:17:47,293329.19
33,Iqbal Nugraha,2024-05-27 19:42:20,467869.13
34,Mahesa Irwansyah,2024-10-07 18:36:33,73479.29
35,Tari Almira,2024-06-15 18:08:49,451893.55
36,Bagus Sulistyo,2024-04-11 02:00:16,138945.03
37,Aditya Setiawan,2024-05-11 19:24:22,192851.28
38,Omar Hidayat,2024-08-19 04:57:12,85652.68
39,Pandu Wibowo,2024-01-20 14:18:17,283228.95
40,Wahyu Ambarwati,2024-04-15 15:49:07,159936.49
41,Erlangga Yunita,2024-12-27 03:19:48,239170.21
42,Danu Sari,2024-01-25 11:51:15,194800.8
43,Aditya Nugroho,2024-09-15 20:44:11,136483.53
44,Xenia Kusuma,2024-11-18 12:22:38,472647.17
45,Laras Lestari,2024-02-14 19:24:11,262439.17
46,Zain Nugraha,2024-11-11 01:16:09,497943.72
